Name	Set	ImageFile	type	Rarity	Color	Cost	Inkwell	Classifications	Strength	Willpower	Lore	Text
Maximus - Relentless Pursuer	TFC	set1/cards/367x512/11_bbe92d05320370ec311348ebb1d60e4eed25d32c	Ally	Un	Amber	3	True	Dreamborn, Ally	3	3	1	HORSE KICK When you play this character,chosen character gets -2 ¤ this turn.
Mickey Mouse - True Friend	TFC	set1/cards/367x512/12_683053fec95a1d2a1e82473078a4bf79b8cbdf29	Hero	Un	Amber	3	True	Storyborn, Hero	3	3	2	
Minnie Mouse - Beloved Princess	TFC	set1/cards/367x512/13_203c5c9f512010b5524bea3ab97b800379fb3200	Princess	Co	Amber	2	True	Dreamborn, Princess	2	3	1	
Moana - Of Motunui	TFC	set1/cards/367x512/14_5cfc974dfbfeb38a893c86c7ce1911a3395e5953	Princess	Ra	Amber	5	True	Storyborn, Hero, Princess	1	6	3	WE CAN FIX IT Whenever this character quests,you may ready your other Princess characters. Theycan't quest for the rest of this turn.
Mr. Smee - Loyal First Mate	TFC	set1/cards/367x512/15_1efcaed93d11f7e7cb6f5bffd94e9759f5c813ac	Pirate	Co	Amber	3	True	Dreamborn, Ally, Pirate	2	5	1	
Prince Phillip - Dragonslayer	TFC	set1/cards/367x512/16_d97bab5aa29e82214c1a1f5da9c0d844e321ce16	Prince	Un	Amber	4	False	Storyborn, Hero, Prince	3	3	2	HEROISM When this character challenges and isbanished, you may banish the challenged character.
Pumbaa - Friendly Warthog	TFC	set1/cards/367x512/17_da94eca93ea6493cd00f6bbc18aaf3f492f79678	Ally	Co	Amber	4	True	Storyborn, Ally	3	5	1	
Rapunzel - Gifted with Healing	TFC	set1/cards/367x512/18_953a231c65d8bcbc836c0a45a93bd66ae7beee91	Princess	Le	Amber	4	True	Storyborn, Hero, Princess	1	5	2	GLEAM AND GLOW When you play thischaracter, remove up to 3 damage from one ofyour characters. Draw a card for each 1 damageremoved this way.
Sebastian - Court Composer	TFC	set1/cards/367x512/19_edd91895cbe09d4efb819c8156216d5cb50f7c6e	Ally	Co	Amber	2	True	Storyborn, Ally	2	2	1	Singer 4 (This character counts as cost 4 to sing songs.)
Simba - Protective Cub	TFC	set1/cards/367x512/20_c93b9ac896d0e9ee70b43ea72cbddcb05dc2c899	Prince	Co	Amber	2	True	Storyborn, Hero, Prince	2	3	1	Bodyguard (This character may enter play exerted.An opposing character who challenges one ofyour characters must choose one with Bodyguardif able.)
Stitch - Carefree Surfer	TFC	set1/cards/367x512/21_f5c3472188e14b3c1e06daa23cb2a751d5b15ca8	Alien	Le	Amber	7	True	Dreamborn, Hero, Alien	4	8	2	OHANA When you play this character, if you have 2 ormore other characters in play, you may draw 2 cards.
Stitch - New Dog	TFC	set1/cards/367x512/22_1fe95a582cca1b665229a03508c4bcb3d7954dfb	Alien	Co	Amber	1	True	Storyborn, Hero, Alien	2	2	1	
Stitch - Rock Star	TFC	set1/cards/367x512/23_f06669afd7335a7e281ad82514cd7af2800122ca	Alien	Su	Amber	6	True	Floodborn, Hero, Alien	3	5	3	Shift 4 (You may pay 4 ⬡ to play this on top of one ofyour characters named Stitch.)ADORING FANS Whenever you play a character withcost 2 or less, you may exert them to draw a card.
Timon - Grub Rustler	TFC	set1/cards/367x512/24_6a029688fd23ff52c03c4c8d67398727b656bd64	Ally	Co	Amber	1	True	Storyborn, Ally	1	2	1	TASTES LIKE CHICKEN When you play thischaracter, you may remove up to 1 damage fromchosen character.
Be Our Guest	TFC	set1/cards/367x512/25_cccfa820a1818349a9ea9776bb8b5ebd9cd77047	Song	Un	Amber	2	True	Song				(A character with cost 2 or more can ⟳ to sing thissong for free.)Look at the top 4 cards of your deck. You may reveal acharacter card and put it into your hand. Put the reston the bottom of your deck in any order.
Control Your Temper!	TFC	set1/cards/367x512/26_eae4160800cb9c7d6554ad12cee60f770e0e6617	Action	Co	Amber	1	True					Chosen character gets -2 ¤ this turn.
Hakuna Matata	TFC	set1/cards/367x512/27_1ada5da672d364339a5bb1884f1df4c4999914bd	Song	Co	Amber	4	True	Song				(A character with cost 4 or more can ⟳ to sing thissong for free.)Remove up to 3 damage from each of your characters.
Healing Glow	TFC	set1/cards/367x512/28_242abac12b3665283979d0e98fb915a00ee1eb4b	Action	Co	Amber	1	True					Remove up to 2 damage from chosen character.
Just in Time	TFC	set1/cards/367x512/29_6dbae348f3f132ba3efd17885b60b0d120924e5f	Action	Ra	Amber	3	False					You may play a character with cost 5 or less for free.
Part of Your World	TFC	set1/cards/367x512/30_c8728fd4f9f777d50174471f8c9873733c8033fe	Song	Ra	Amber	3	False	Song				(A character with cost 3 or more can ⟳ to sing this songfor free.)Return a character card from your discard to your hand.
You Have Forgotten Me	TFC	set1/cards/367x512/31_663ea8bb246aaa30a6b9d75e48e1a6a4d05e6b53	Action	Un	Amber	4	True					Each opponent chooses and discards 2 cards.
Dinglehopper	TFC	set1/cards/367x512/32_b78931cf82f778a7e09f1cf019cb8d6ac91a26ff	Item	Co	Amber	1	True					STRAIGHTEN HAIR ⟳ — Remove up to 1 damagefrom chosen character.
Lantern	TFC	set1/cards/367x512/33_96b2be7afbc03759e156ca8f2b21ae6aa297a46b	Item	Ra	Amber	2	False					BIRTHDAY LIGHTS ⟳ — You pay 1 ⬡ less for the nextcharacter you play this turn.
Ursula's Shell Necklace	TFC	set1/cards/367x512/34_7f922bab47dad77e7476e63ff2481a8cc786e486	Item	Ra	Amber	3	False					NOW, SING! Whenever you play a song, you may pay1 ⬡ to draw a card.
Anna - Heir to Arendelle	TFC	set1/cards/367x512/35_5c55e09f362d528989e122665e69bde0752f17be	Queen	Un	Amethyst	4	True	Storyborn, Hero, Queen	2	4	2	LOVING HEART When you play this character,if you have a character named Elsa in play, choosean opposing character. The chosen characterdoesn't ready at the start of their next turn.
Archimedes - Highly Educated Owl	TFC	set1/cards/367x512/36_0a6774f7105aad7f55f50ca6fde05a60534efff1	Ally	Co	Amethyst	1	True	Dreamborn, Ally	2	2	1	
Dr. Facilier - Agent Provocateur	TFC	set1/cards/367x512/37_0f2f242e96ebd762a243681ef60072e02ed5ec87	Sorcerer	Ra	Amethyst	7	False	Floodborn, Villain, Sorcerer	4	5	3	Shift 5 (You may pay 5 ⬡ to play this on top ofone of your characters named Dr. Facilier.)INTO THE SHADOWS Whenever one of yourother characters is banished in a challenge, youmay return that card to your hand.
Dr. Facilier - Charlatan	TFC	set1/cards/367x512/38_bbb22c02ac811b8194de7a52ebf068b7802a467d	Sorcerer	Co	Amethyst	2	True	Storyborn, Villain, Sorcerer	0	4	1	Challenger +2 (While challenging, this charactergets +2 ¤.)
Dr. Facilier - Remarkable Gentleman	TFC	set1/cards/367x512/39_5baab6cb76c822be91e785647d639ceb4a1b9d9b	Sorcerer	Ra	Amethyst	3	True	Storyborn, Villain, Sorcerer	2	4	1	DREAMS MADE REAL Whenever you play asong, you may look at the top 2 cards of yourdeck. Put one on the top of your deck and theother on the bottom.
Elsa - Queen Regent	TFC	set1/cards/367x512/40_883b6c2e5ccb7a2da3885c72b0d3ac9e78b99503	Sorcerer	Co	Amethyst	4	True	Storyborn, Hero, Queen, Sorcerer	4	4	1	
Elsa - Snow Queen	TFC	set1/cards/367x512/41_153a257f8c0e46600c8a567c053457a12466dcb8	Sorcerer	Un	Amethyst	3	True	Dreamborn, Hero, Queen, Sorcerer	2	3	1	FREEZE ⟳ — Exert chosen opposing character.
Elsa - Spirit of Winter	TFC	set1/cards/367x512/42_7c4a8717a3911b95946513abad90ebae7c8fa1a5	Sorcerer	Le	Amethyst	8	False	Floodborn, Hero, Queen, Sorcerer	4	6	3	Shift 6 (You may pay 6 ⬡ to play this on top of one ofyour characters named Elsa.)DEEP FREEZE When you play this character, exert upto 2 chosen characters. They can't ready at the start oftheir next turn.
Flotsam - Ursula's Spy	TFC	set1/cards/367x512/43_773ad5e7ac22fe9fdbde5ea29ae6a55b6f8ef960	Ally	Ra	Amethyst	5	False	Storyborn, Ally	3	4	2	Rush (This character can challenge the turn they'replayed.)DEXTEROUS LUNGE Your characters namedJetsam gain Rush.
Jafar - Keeper of Secrets	TFC	set1/cards/367x512/44_a62e3fb714ec0efe63109e158cc909320607e33b	Sorcerer	Ra	Amethyst	4	True	Dreamborn, Villain, Sorcerer	0	5	2	HIDDEN WONDERS This character gets +1 ¤for each card in your hand.
Jafar - Wicked Sorcerer	TFC	set1/cards/367x512/45_d3b75340fa4f831297172da8bea3851af13dfd24	Sorcerer	Co	Amethyst	4	True	Dreamborn, Villain, Sorcerer	2	5	1	Challenger +3 (While challenging, this charactergets +3 ¤.)
Jetsam - Ursula's Spy	TFC	set1/cards/367x512/46_a615eaf37a0eecb3fc10be48bdfb996c22057e4c	Ally	Co	Amethyst	4	True	Storyborn, Ally	3	3	1	Evasive (Only characters with Evasive canchallenge this character.)SINISTER SLITHER Your characters namedFlotsam gain Evasive.
Magic Broom - Bucket Brigade	TFC	set1/cards/367x512/47_ee8179fefb60bd1709dbb6b138c512187fbe6756	Broom	Co	Amethyst	2	True	Dreamborn, Broom	2	2	1	SWEEP When you play this character, you mayshuffle a card from any discard into its player'sdeck.
Maleficent - Biding Her Time	TFC	set1/cards/367x512/48_3436a1ae1da612d092a0f9a5aef4b7b121a1c6a5	Sorcerer	Ra	Amethyst	1	False	Dreamborn, Villain, Sorcerer	1	1	2	
Maleficent - Sorceress	TFC	set1/cards/367x512/49_c148f44872c89e505ac9e996f73b7c0df7554ae2	Sorcerer	Co	Amethyst	3	True	Storyborn, Villain, Sorcerer	2	2	1	CAST MY SPELL! When you play this character,you may draw a card.
Marshmallow - Persistent Guardian	TFC	set1/cards/367x512/50_3f3727cf9bc6735618ceddb7cda650028571bb09	Ally	Su	Amethyst	6	False	Storyborn, Ally	5	5	1	DURABLE When this character is banished in achallenge, you may return this card to your hand.
Mickey Mouse - Wayward Sorcerer	TFC	set1/cards/367x512/51_8be2bbc7d07a37a8b8128877fc78225c8cab0ec3	Sorcerer	Su	Amethyst	4	True	Dreamborn, Sorcerer	3	4	2	ANIMATE BROOM You pay 1 ⬡ less to play Broomcharacters.CEASELESS WORKER Whenever one of your Broomcharacters is banished in a challenge, you may returnthat card to your hand.
Olaf - Friendly Snowman	TFC	set1/cards/367x512/52_23c80d526ff9f9d65bd0eaa00e30d71090173ec7	Ally	Un	Amethyst	1	True	Storyborn, Ally	1	3	1	
Pascal - Rapunzel's Companion	TFC	set1/cards/367x512/53_a0c5e9b2936967099d92c6d239905068b26fed74	Ally	Un	Amethyst	1	True	Storyborn, Ally	1	1	1	CAMOUFLAGE While you have another characterin play, this character gains Evasive. (Only characterswith Evasive can challenge them.)
Rafiki - Mysterious Sage	TFC	set1/cards/367x512/54_f8759ba9b4b598d44541c8687667ae41697a5bf3	Sorcerer	Un	Amethyst	3	False	Dreamborn, Mentor, Sorcerer	3	3	1	Rush (This character can challenge the turnthey're played.)
Sven - Official Ice Deliverer	TFC	set1/cards/367x512/55_15be8133341b7c1164edda48aa8dc849032fa4f8	Ally	Un	Amethyst	6	True	Storyborn, Ally	5	7	1	
The Queen - Wicked and Vain	TFC	set1/cards/367x512/56_14c5fccbdaadfce7a0ec6e76c41da46a1f470306	Queen	Su	Amethyst	5	True	Storyborn, Villain, Queen	4	5	1	I SUMMON THEE ⟳ — Draw a card.
The Wardrobe - Belle's Confidant	TFC	set1/cards/367x512/57_1a36afeb8d32a601e0c4478174196b1590485074	Ally	Co	Amethyst	3	True	Dreamborn, Ally	3	4	1	
Tinker Bell - Peter Pan's Ally	TFC	set1/cards/367x512/58_c33611b3b6f75341f929b04009b8e219907e1daf	Fairy	Co	Amethyst	5	False	Storyborn, Ally, Fairy	3	3	2	Evasive (Only characters with Evasive canchallenge this character.)LOYAL AND DEVOTED Your characters namedPeter Pan gain Challenger +1. (They get +1 ¤while challenging.)
Ursula - Power Hungry	TFC	set1/cards/367x512/59_efc1c17ae182ef7cf1099ea4dcc0b46afd1c0a50	Sorcerer	Le	Amethyst	7	False	Storyborn, Villain, Sorcerer	2	8	3	IT'S TOO EASY! When you play this character,each opponent loses 1 lore. You may draw a cardfor each 1 lore lost this way.
Yzma - Alchemist	TFC	set1/cards/367x512/60_77567b53f83ab75739ac0ed6920ed8e181a43497	Sorcerer	Co	Amethyst	2	True	Dreamborn, Villain, Sorcerer	2	2	1	YOU'RE EXCUSED Whenever this characterquests, look at the top card of your deck. Put iton either the top or the bottom of your deck.
Zeus - God of Lightning	TFC	set1/cards/367x512/61_f1686960e5891ba90cfe60a1ede135c1e72397fa	Deity	Ra	Amethyst	4	False	Storyborn, Deity	0	4	2	Rush (This character can challenge the turn they'replayed.)Challenger +4 (While challenging, this character gets+4 ¤.)
Befuddle	TFC	set1/cards/367x512/62_50e4c5d9f6c919b474acf7984ba468f8b5e6ccc4	Action	Un	Amethyst	1	True					Return chosen character or item with cost 2 or less totheir player's hand.
Freeze	TFC	set1/cards/367x512/63_4a3e49bb6d1b8b9df7d5e213aff81187c1d6a94b	Action	Co	Amethyst	2	False					Exert chosen opposing character.
Friends on the Other Side	TFC	set1/cards/367x512/64_b60f5a396448f451ed45e990efc86a16e9a2afea	Song	Co	Amethyst	3	True	Song				(A character with cost 3 or more can ⟳ to sing this songfor free.)Draw 2 cards.
Reflection	TFC	set1/cards/367x512/65_e10034de0940b262f69a016903be5b32afc81869	Song	Un	Amethyst	1	True	Song				(A character with cost 1 or more can ⟳ to sing this songfor free.)Look at the top 3 cards of your deck. Put them back on thetop of your deck in any order.
Magic Mirror	TFC	set1/cards/367x512/66_6407cda05c3108932f8da8d6358e656d6ebee63d	Item	Ra	Amethyst	2	False					SPEAK! ⟳, 4 ⬡ — Draw a card.
Ursula's Cauldron	TFC	set1/cards/367x512/67_ff87c9b6b4a2b2e0b0edb7aa4e1f2c288c3e4d56	Item	Un	Amethyst	2	False					PEER INTO THE DEPTHS ⟳ — Look at the top 2cards of your deck. Put one on the top of your deckand the other on the bottom.
White Rabbit's Pocket Watch	TFC	set1/cards/367x512/68_d843a20665326308ca6f05a76a2e90ce3dea369d	Item	Ra	Amethyst	3	True					I'M LATE! ⟳, 1 ⬡ — Chosen character gains Rushthis turn. (They can challenge the turn they're played.)
Aladdin - Prince Ali	TFC	set1/cards/367x512/69_72741332db450226a74d46e8d26a801ce27f0d44	Prince	Co	Emerald	2	True	Storyborn, Hero, Prince	2	2	1	Ward (Opponents can't choose this characterexcept to challenge.)
Beast - Wolfsbane	TFC	set1/cards/367x512/70_71db5601e1c55d8c9600bde66a3075e036bc7838	Prince	Le	Emerald	5	False	Dreamborn, Hero, Prince	4	4	2	Rush (This character can challenge the turn they'replayed.)ROAR When you play this character, exert all opposingdamaged characters.
Cheshire Cat - Not All There	TFC	set1/cards/367x512/71_60fff1d5ae5b5c35b695fef85af488667d6cf8d3	Storyborn	Un	Emerald	3	True	Storyborn	0	3	2	LOSE SOMETHING? When this character ischallenged and banished, banish the challengingcharacter.
Cruella De Vil - Miserable as Usual	TFC	set1/cards/367x512/72_026550aa77f2e481cfb1beb3af3ee319ab9d847f	Villain	Ra	Emerald	2	True	Storyborn, Villain	1	3	1	YOU'LL BE SORRY! When this character ischallenged and banished, you may return chosencharacter to their player's hand.
Duke of Weselton - Opportunistic Official	TFC	set1/cards/367x512/73_5bcc4a9ecb165375f4679bee8ab0b6f794a967a5	Villain	Co	Emerald	1	True	Storyborn, Villain	2	2	1	
Flynn Rider - Charming Rogue	TFC	set1/cards/367x512/74_94bdf032ff021cd7d091322b7f3cee0d51f79264	Prince	Un	Emerald	2	True	Storyborn, Hero, Prince	1	2	2	HERE COMES THE SMOLDER Whenever thischaracter is challenged, the challenging playerchooses and discards a card.
Genie - On the Job	TFC	set1/cards/367x512/75_a79f6f48ebc180256c680f2e73e52e263bb0968b	Ally	Su	Emerald	6	False	Storyborn, Ally	3	4	2	Evasive (Only characters with Evasive can challenge thischaracter.)DISAPPEAR When you play this character, you mayreturn chosen character to their player's hand.
Genie - Powers Unleashed	TFC	set1/cards/367x512/76_e9d7d0d9b83c19fdca7a528341ca9ddfe780671b	Hero	Ra	Emerald	8	False	Floodborn, Hero	3	5	3	Shift 6 (You may pay 6 ⬡ to play this on top of one of yourcharacters named Genie.)Evasive (Only characters with Evasive can challenge thischaracter.)PHENOMENAL COSMIC POWER! Whenever this characterquests, you may play an action with cost 5 or less for free.
Genie - The Ever Impressive	TFC	set1/cards/367x512/77_086492e7d8a5ce2a9a50123f6b81d1487445d67c	Ally	Co	Emerald	2	True	Dreamborn, Ally	2	3	1	
Hans - Scheming Prince	TFC	set1/cards/367x512/78_8ff59e0da4f670a0a675255a860a893b08fe0d38	Prince	Ra	Emerald	4	True	Storyborn, Villain, Prince	3	3	3	
Horace - No-Good Scoundrel	TFC	set1/cards/367x512/79_32d66edefb255905e2df7e567469518a9af0365b	Ally	Co	Emerald	3	True	Storyborn, Ally	4	3	1	
Iago - Loud-Mouthed Parrot	TFC	set1/cards/367x512/80_872da62909477419daa7a22fae1da5c500575294	Ally	Ra	Emerald	3	True	Storyborn, Ally	1	4	1	YOU GOT A PROBLEM? ⟳ — Chosen charactergains Reckless during their next turn. (They can'tquest and must challenge if able.)
Jasper - Common Crook	TFC	set1/cards/367x512/81_83db75efe100594ca4ee0346c65f498aeee7b358	Ally	Un	Emerald	3	True	Storyborn, Ally	2	4	1	PUPPYNAPPING Whenever this characterquests, chosen opposing character can't questduring their next turn.
John Silver - Alien Pirate	TFC	set1/cards/367x512/82_e0ec173baa1f46ddc0b073ff61fac23ccf83f0f5	Captain	Le	Emerald	6	True	Storyborn, Villain, Alien, Pirate, Captain	5	5	2	PICK YOUR FIGHTS When you play this characterand whenever he quests, chosen opposing charactergains Reckless during their next turn. (They can'tquest and must challenge if able.)
Jumba Jookiba - Renegade Scientist	TFC	set1/cards/367x512/83_d15e70c80afc9defe65d05eddd52b252faa53ca7	Inventor	Un	Emerald	5	True	Dreamborn, Alien, Inventor	4	5	2	
Kuzco - Temperamental Emperor	TFC	set1/cards/367x512/84_43cb0c635af93eeefae422ca65df4df705b04113	King	Ra	Emerald	5	False	Storyborn, King	2	4	3	Ward (Opponents can't choose this character except tochallenge.)NO TOUCHY! When this character is challenged andbanished, you may banish the challenging character.
Lady Tremaine - Wicked Stepmother	TFC	set1/cards/367x512/85_8cb423576c0e664a9370b71efef266a9702274a9	Villain	Ra	Emerald	6	False	Dreamborn, Villain	1	5	1	DO IT AGAIN! When you play this character,you may return an action card from your discardto your hand.
Mad Hatter - Gracious Host	TFC	set1/cards/367x512/86_6517758f6cdb829313e87191c7de33f6a7b86ce6	Storyborn	Un	Emerald	5	True	Storyborn	2	4	3	TEA PARTY Whenever this character is challenged,you may draw a card.
Megara - Pulling the Strings	TFC	set1/cards/367x512/87_ccdcc7909948cfe1bdd2fbd3ad53d61ae90e4d8a	Ally	Co	Emerald	2	True	Dreamborn, Ally	2	1	1	WONDER BOY When you play this character,chosen character gets +2 ¤ this turn.
Mickey Mouse - Artful Rogue	TFC	set1/cards/367x512/88_c5616612fae97a68d0030becee11ea46a58694e8	Hero	Su	Emerald	7	False	Floodborn, Hero	6	5	2	Shift 5 (You may pay 5 ⬡ to play this on top of one ofyour characters named Mickey Mouse.)MISDIRECTION Whenever you play an action, chosenopposing character can't quest during their next turn.
Mickey Mouse - Steamboat Pilot	TFC	set1/cards/367x512/89_57555e4441d703df476361d8b5e77a6bcfb102f4	Captain	Co	Emerald	3	True	Storyborn, Hero, Captain	3	4	1	
Mother Gothel - Selfish Manipulator	TFC	set1/cards/367x512/90_eb083dbd9e0bd973f04151bddc5d07ff13aefd81	Villain	Su	Emerald	6	True	Storyborn, Villain	3	6	2	SKIP THE DRAMA, STAY WITH MAMA While thischaracter is exerted, opposing characters can'tquest.
Peter Pan - Never Landing	TFC	set1/cards/367x512/91_403c38d8837edde5013d1adb685bb60c6695311d	Hero	Co	Emerald	3	True	Dreamborn, Hero	3	2	1	Evasive (Only characters with Evasive canchallenge this character.)
Tamatoa - Drab Little Crab	TFC	set1/cards/367x512/92_87813d46b5be38a382e0708131320e3b91dcb1df	Dreamborn	Un	Emerald	2	True	Dreamborn	1	4	1	
Tinker Bell - Most Helpful	TFC	set1/cards/367x512/93_f0db3a718e9b16d6e7d5062378cd953b37b25120	Fairy	Co	Emerald	4	True	Storyborn, Ally, Fairy	2	3	2	Evasive (Only characters with Evasive canchallenge this character.)PIXIE DUST When you play this character,chosen character gains Evasive this turn.
Do It Again!	TFC	set1/cards/367x512/94_e5687fefb6d71cff8eef2bdefa56db6c8d77d7fc	Action	Ra	Emerald	3	False					Return an action card from your discard to your hand.
Mother Knows Best	TFC	set1/cards/367x512/95_29ee14597222da2b611f8d5024beb161c05d6f76	Song	Un	Emerald	3	False	Song				(A character with cost 3 or more can ⟳ to sing thissong for free.)Return chosen character to their player's hand.
Stampede	TFC	set1/cards/367x512/96_85181aab103216a797980a59982f802974350396	Action	Co	Emerald	1	False					Deal 2 damage to chosen damaged character.
Steal from the Rich	TFC	set1/cards/367x512/97_16783eb73cbab774dce2da8a14227d170e645927	Action	Ra	Emerald	5	False					Whenever one of your characters quests this turn,each opponent loses 1 lore.
Sudden Chill	TFC	set1/cards/367x512/98_87fc6c030349e8f9c622269d82d3123b2114cd7d	Song	Co	Emerald	2	True	Song				(A character with cost 2 or more can ⟳ to sing thissong for free.)Each opponent chooses and discards a card.
The Beast is Mine!	TFC	set1/cards/367x512/99_41b8324fe42d271d2d4d9603d8f26b3f7d8489ef	Action	Un	Emerald	3	True					Chosen character gains Reckless during their nextturn. (They can't quest and must challenge if able.)
Vicious Betrayal	TFC	set1/cards/367x512/100_8ff02cb6b999a7a1f80836c20e394b1fa55a8cbf	Action	Co	Emerald	1	True					Chosen character gets +2 ¤ this turn. If a Villaincharacter is chosen, they get +3 ¤ instead.
Dr. Facilier's Cards	TFC	set1/cards/367x512/101_e74582dff03934f7d974f7096a661883cee911a1	Item	Un	Emerald	2	False					THE CARDS WILL TELL ⟳ — You pay 1 ⬡ less for thenext action you play this turn.
Stolen Scimitar	TFC	set1/cards/367x512/102_bee9c89b09ad8924972d5a5d29689c1b9dedbbfd	Item	Co	Emerald	2	True					SLASH ⟳ — Chosen character gets +1 ¤ this turn.If a character named Aladdin is chosen, he gets +2 ¤instead.
Abu - Mischievous Monkey	TFC	set1/cards/367x512/103_8b285f5cb8d259d8a3a8cbe58d038989df5668d3	Ally	Co	Ruby	3	True	Storyborn, Ally	3	2	2	
Aladdin - Heroic Outlaw	TFC	set1/cards/367x512/104_b9d7086c2090beecaeaa99a4a4dfdd7afddf4f77	Hero	Su	Ruby	7	True	Floodborn, Hero	5	5	2	Shift 5 (You may pay 5 ⬡ to play this on top of oneof your characters named Aladdin.)DARING EXPLOIT During your turn, whenever thischaracter banishes another character in a challenge,you gain 2 lore and each opponent loses 2 lore.
Aladdin - Street Rat	TFC	set1/cards/367x512/105_c681a32915c39aa5a7a440ee1eb313ce31ec7e26	Hero	Co	Ruby	3	True	Storyborn, Hero	2	2	1	IMPROVISE When you play this character, eachopponent loses 1 lore.
Captain - Colonel's Lieutenant	TFC	set1/cards/367x512/106_8b2618b4520d97bfe446c20f8df4854c100fa42b	Captain	Un	Ruby	5	True	Storyborn, Ally, Captain	6	5	1	
Captain Hook - Ruthless Pirate	TFC	set1/cards/367x512/107_42fe103e38f7254f56d7204de4256be6b730be18	Captain	Ra	Ruby	7	False	Storyborn, Villain, Pirate, Captain	5	5	2	Rush (This character can challenge the turn they'replayed.)YOU COWARD! While this character is exerted,opposing characters with Evasive gain Reckless. (Theycan't quest and must challenge if able.)
Donald Duck - Boisterous Fowl	TFC	set1/cards/367x512/108_c7d93e914a831be3503c302488d164ef541197e9	Storyborn	Un	Ruby	2	True	Storyborn	2	3	1	
Elsa - Ice Surfer	TFC	set1/cards/367x512/109_4ffb2d5853d32edb99f6e399191d512bf5ef39bc	Sorcerer	Co	Ruby	4	True	Dreamborn, Hero, Queen, Sorcerer	3	4	1	THAT'S NO BLIZZARD Whenever you play acharacter named Anna, ready this character. Thischaracter can't quest for the rest of this turn.
Gaston - Arrogant Hunter	TFC	set1/cards/367x512/110_46b6ab4884aa61373db7c6462dcc6933b3d1ad80	Villain	Co	Ruby	2	True	Storyborn, Villain	4	2	0	Reckless (This character can't quest and mustchallenge each turn if able.)
Goofy - Daredevil	TFC	set1/cards/367x512/111_380a12a35a3190b428c110bb5817a8252059ab21	Hero	Co	Ruby	5	True	Dreamborn, Hero	3	4	2	Evasive (Only characters with Evasive canchallenge this character.)
LeFou - Instigator	TFC	set1/cards/367x512/112_7d2db1cce8df38960632003e179e8faf59511412	Ally	Ra	Ruby	2	True	Dreamborn, Ally	2	2	1	FAN THE FLAMES When you play this character,ready chosen character. They can't quest for therest of this turn.
