Name	Set	ImageFile	type	Rarity	Color	Cost	Inkwell	Classifications	Strength	Willpower	Lore	Text	Script
Maximus - Relentless Pursuer	TFC	expansions/1/cards/367x512/17ba0791499db908433b80f37c5fbc89b870084b	Character	Un	Amber	3	True	['Dreamborn', 'Ally']	3	3	1	HORSE KICK When you play this character,chosen character gets -2 ¤ this turn.,	"He pursues his quarry with courage, discipline,
and a touch of class."
Mickey Mouse - True Friend	TFC	expansions/1/cards/367x512/7b52009b64fd0a2a49e6d8a939753077792b0554	Character	Un	Amber	3	True	['Storyborn', 'Hero']	3	3	2		"As long as he's around, newcomers to the Great
Illuminary will always get a warm welcome."
Minnie Mouse - Beloved Princess	TFC	expansions/1/cards/367x512/bd307a3ec329e10a2cff8fb87480823da114f8f4	Character	Co	Amber	2	True	['Dreamborn', 'Princess']	2	3	1		"Wherever the princess goes, her musketeers are
...well, they're around somewhere, probably."
Moana - Of Motunui	TFC	expansions/1/cards/367x512/fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b	Character	Ra	Amber	5	True	['Storyborn', 'Hero', 'Princess']	1	6	3	WE CAN FIX IT Whenever this character quests,you may ready your other Princess characters. Theycan't quest for the rest of this turn.,	"“I am Moana of Motunui. You will board my boat, sail
across the sea, and restore the heart of Te Fiti.”"
Mr. Smee - Loyal First Mate	TFC	expansions/1/cards/367x512/f1abd670358e036c31296e66b3b66c382ac00812	Character	Co	Amber	3	True	['Dreamborn', 'Ally', 'Pirate']	2	5	1		"“Mr. Smee is a kind, gentle soul who lives to bring
comfort and aid to a twisted old villain. Now, what
good is kindness like that?”
—Peter Pan"
Prince Phillip - Dragonslayer	TFC	expansions/1/cards/367x512/1574bddb75c78a6fd2251d61e2993b5146201319	Character	Un	Amber	4	False	['Storyborn', 'Hero', 'Prince']	3	3	2	HEROISM When this character challenges and isbanished, you may banish the challenged character.,	"“The road to true love may be barred by still many more
dangers, which you alone will have to face.”
—Flora"
Pumbaa - Friendly Warthog	TFC	expansions/1/cards/367x512/0716d9708d321ffb6a00818614779e779925365c	Character	Co	Amber	4	True	['Storyborn', 'Ally']	3	5	1		“You gotta put your behind in your past.”
Rapunzel - Gifted with Healing	TFC	expansions/1/cards/367x512/9e6a55b6b4563e652a23be9d623ca5055c356940	Character	Le	Amber	4	True	['Storyborn', 'Hero', 'Princess']	1	5	2	GLEAM AND GLOW When you play thischaracter, remove up to 3 damage from one ofyour characters. Draw a card for each 1 damageremoved this way.,	
Sebastian - Court Composer	TFC	expansions/1/cards/367x512/b3f0c7f6bb763af1be91d9e74eabfeb199dc1f1f	Character	Co	Amber	2	True	['Storyborn', 'Ally']	2	2	1	Singer 4 (This character counts as cost 4 to sing songs.),	"“I should be writing symphonies, not tagging along after
some headstrong teenager.”"
Simba - Protective Cub	TFC	expansions/1/cards/367x512/91032ad7bbcb6cf72875e8e8207dcfba80173f7c	Character	Co	Amber	2	True	['Storyborn', 'Hero', 'Prince']	2	3	1	Bodyguard (This character may enter play exerted.An opposing character who challenges one ofyour characters must choose one with Bodyguardif able.),	Courage comes in all sizes.
Stitch - Carefree Surfer	TFC	expansions/1/cards/367x512/472b07b9fcf2c2451e8781e944bf5f77cd8457c8	Character	Le	Amber	7	True	['Dreamborn', 'Hero', 'Alien']	4	8	2	OHANA When you play this character, if you have 2 ormore other characters in play, you may draw 2 cards.,	"“So you're from outer space, huh? I hear the surfing's
choice.”
—David"
Stitch - New Dog	TFC	expansions/1/cards/367x512/12c6fc06c99a462375eeb3f43dfd832b08ca9e17	Character	Co	Amber	1	True	['Storyborn', 'Hero', 'Alien']	2	2	1		"Lilo: “David! I got a new dog!”
David: “Auwe!...You sure it's a dog?”
Lilo: “Uh-huh. He used to be a collie before he got
ran over.”"
Stitch - Rock Star	TFC	expansions/1/cards/367x512/d435a6cdd786300dff204ee7c2ef942d3e9034e2	Character	Su	Amber	6	True	['Floodborn', 'Hero', 'Alien']	3	5	3	Shift 4 (You may pay 4 ⬡ to play this on top of one ofyour characters named Stitch.),ADORING FANS Whenever you play a character withcost 2 or less, you may exert them to draw a card.,	"The best part about a beachside concert is that there's
always room for one more."
Timon - Grub Rustler	TFC	expansions/1/cards/367x512/4d134bc072212ace2df385dae143139da74ec0ef	Character	Co	Amber	1	True	['Storyborn', 'Ally']	1	2	1	TASTES LIKE CHICKEN When you play thischaracter, you may remove up to 1 damage fromchosen character.,	"“There's all manner of tasty treats in the world—ya
just gotta know where to look.”"
Be Our Guest	TFC	expansions/1/cards/367x512/f6e1126cedebf23e1463aee73f9df08783640400	Action	Un	Amber	2	True	['Song']				(A character with cost 2 or more can ⟳ to sing thissong for free.),	
Control Your Temper!	TFC	expansions/1/cards/367x512/887309d048beef83ad3eabf2a79a64a389ab1c9f	Action	Co	Amber	1	True					Chosen character gets -2 ¤ this turn.	
Hakuna Matata	TFC	expansions/1/cards/367x512/bc33ea4e26e5e1af1408321416956113a4658763	Action	Co	Amber	4	True	['Song']				(A character with cost 4 or more can ⟳ to sing thissong for free.),	What a wonderful phrase!
Healing Glow	TFC	expansions/1/cards/367x512/0a57cb53ba59c46fc4b692527a38a87c78d84028	Action	Co	Amber	1	True					Remove up to 2 damage from chosen character.	"“Don't freak out!”
—Rapunzel"
Just in Time	TFC	expansions/1/cards/367x512/7719a1c782a1ba91c031a682a0a2f8658209adbf	Action	Ra	Amber	3	False					You may play a character with cost 5 or less for free.	"The best heroes always arrive at the perfect moment—
whether they know it or not."
Part of Your World	TFC	expansions/1/cards/367x512/22d200f8670dbdb3e253a90eee5098477c95c23d	Action	Ra	Amber	3	False	['Song']				(A character with cost 3 or more can ⟳ to sing this songfor free.),	"What would I give
If I could live out of these waters?"
You Have Forgotten Me	TFC	expansions/1/cards/367x512/632667547e7cd3e0466547863e1207a8c0c0c549	Action	Un	Amber	4	True					Each opponent chooses and discards 2 cards.	"“You are more than what you have become.”
—Mufasa"
Dinglehopper	TFC	expansions/1/cards/367x512/cb4e5208b4cd87268b208e49452ed6e89a68e0b8	Item	Co	Amber	1	True					STRAIGHTEN HAIR ⟳ — Remove up to 1 damagefrom chosen character.,	Enjoy the finest of human hairstyles!
Lantern	TFC	expansions/1/cards/367x512/b6692ea5df920cad691c20319a6fffd7a4a766b8	Item	Ra	Amber	2	False					BIRTHDAY LIGHTS ⟳ — You pay 1 ⬡ less for the nextcharacter you play this turn.,	"Lanterns fill the sky on one special night, beacons of
hope and love."
Ursula's Shell Necklace	TFC	expansions/1/cards/367x512/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59	Item	Ra	Amber	3	False					NOW, SING! Whenever you play a song, you may pay1 ⬡ to draw a card.,	"“Singing is a lovely pastime...if you've got the voice
for it.”
—Ursula"
Anna - Heir to Arendelle	TFC	expansions/1/cards/367x512/972a67c48192728a34979d9a35164c1295401b71	Character	Un	Amethyst	4	True	['Storyborn', 'Hero', 'Queen']	2	4	2	LOVING HEART When you play this character,if you have a character named Elsa in play, choosean opposing character. The chosen characterdoesn't ready at the start of their next turn.,	“Two sisters, one mind.”
Archimedes - Highly Educated Owl	TFC	expansions/1/cards/367x512/fc074d501302eb2b93e2554793fcaf50b3bf7291	Character	Co	Amethyst	1	True	['Dreamborn', 'Ally']	2	2	1		"“Flying is not merely some crude, mechanical
process. It is a delicate art. Purely aesthetic.
Poetry of motion. And the best way to learn it is
to do it!”"
Dr. Facilier - Agent Provocateur	TFC	expansions/1/cards/367x512/cb7a1d775e800fd1ee4049f7dca9e041eb9ba083	Character	Ra	Amethyst	7	False	['Floodborn', 'Villain', 'Sorcerer']	4	5	3	Shift 5 (You may pay 5 ⬡ to play this on top ofone of your characters named Dr. Facilier.),INTO THE SHADOWS Whenever one of yourother characters is banished in a challenge, youmay return that card to your hand.,	
Dr. Facilier - Charlatan	TFC	expansions/1/cards/367x512/5b384ce32d8cdef02bc3a139d4cac0a22bb029e8	Character	Co	Amethyst	2	True	['Storyborn', 'Villain', 'Sorcerer']	0	4	1	Challenger +2 (While challenging, this charactergets +2 ¤.),	“Enchantée. A tip of the hat from Dr. Facilier.”
Dr. Facilier - Remarkable Gentleman	TFC	expansions/1/cards/367x512/ca3512f4dfa95a03169c5a670a4c91a19b3077b4	Character	Ra	Amethyst	3	True	['Storyborn', 'Villain', 'Sorcerer']	2	4	1	DREAMS MADE REAL Whenever you play asong, you may look at the top 2 cards of yourdeck. Put one on the top of your deck and theother on the bottom.,	
Elsa - Queen Regent	TFC	expansions/1/cards/367x512/af3e133428b9e25c55bc59fe534248e6a0c0f17b	Character	Co	Amethyst	4	True	['Storyborn', 'Hero', 'Queen', 'Sorcerer']	4	4	1		“I never knew what I was capable of.”
Elsa - Snow Queen	TFC	expansions/1/cards/367x512/761f22b2c1593d0bb87e0b606f990ba4974706de	Character	Un	Amethyst	3	True	['Dreamborn', 'Hero', 'Queen', 'Sorcerer']	2	3	1	FREEZE ⟳ — Exert chosen opposing character.,	"Recreated by magical ink, Elsa found herself in
an entirely new world. Fortunately, ice works the
same way everywhere."
Elsa - Spirit of Winter	TFC	expansions/1/cards/367x512/92cfceb39d57d914ed8b14d0e37643de0797ae56	Character	Le	Amethyst	8	False	['Floodborn', 'Hero', 'Queen', 'Sorcerer']	4	6	3	Shift 6 (You may pay 6 ⬡ to play this on top of one ofyour characters named Elsa.),DEEP FREEZE When you play this character, exert upto 2 chosen characters. They can't ready at the start oftheir next turn.,	Ice is stronger than you may think.
Flotsam - Ursula's Spy	TFC	expansions/1/cards/367x512/0286dd552c9bea9a69ecb3759e7b94777635514b	Character	Ra	Amethyst	5	False	['Storyborn', 'Ally']	3	4	2	Rush (This character can challenge the turn they'replayed.),DEXTEROUS LUNGE Your characters namedJetsam gain Rush.,	“We know someone who can help you...for a price.”
Jafar - Keeper of Secrets	TFC	expansions/1/cards/367x512/98fbc42faedc02492397cb5962ea3a3ffc0a9243	Character	Ra	Amethyst	4	True	['Dreamborn', 'Villain', 'Sorcerer']	0	5	2	HIDDEN WONDERS This character gets +1 ¤for each card in your hand.,	There's more than one way to bury secrets.
Jafar - Wicked Sorcerer	TFC	expansions/1/cards/367x512/fb644351560d8296fe6da332236b1f8d61b2828a	Character	Co	Amethyst	4	True	['Dreamborn', 'Villain', 'Sorcerer']	2	5	1	Challenger +3 (While challenging, this charactergets +3 ¤.),	"“Enough skulking about. It's time to show that
sniveling sultan what a sorcerer can do.”"
Jetsam - Ursula's Spy	TFC	expansions/1/cards/367x512/fe2ef495a1152561572949784c16bf23abb28057	Character	Co	Amethyst	4	True	['Storyborn', 'Ally']	3	3	1	Evasive (Only characters with Evasive canchallenge this character.),SINISTER SLITHER Your characters namedFlotsam gain Evasive.,	“We can help you get anything you want....”
Magic Broom - Bucket Brigade	TFC	expansions/1/cards/367x512/827bfc458708f0b442009c9c9836f7e4b65557fb	Character	Co	Amethyst	2	True	['Dreamborn', 'Broom']	2	2	1	SWEEP When you play this character, you mayshuffle a card from any discard into its player'sdeck.,	"In the immense story-forge known as the Great
Illuminary, there is always work to be done."
Maleficent - Biding Her Time	TFC	expansions/1/cards/367x512/64e095fe763fc62418378753f9402623bea9e227	Character	Ra	Amethyst	1	False	['Dreamborn', 'Villain', 'Sorcerer']	1	1	2		"“One mustn't rush these things, or the greatest
plan might come to nothing.”"
Maleficent - Sorceress	TFC	expansions/1/cards/367x512/2e01e17467891f7c933dbaa00e1459d23db3fe4f	Character	Co	Amethyst	3	True	['Storyborn', 'Villain', 'Sorcerer']	2	2	1	CAST MY SPELL! When you play this character,you may draw a card.,	"“You dare challenge me? Fool, my magic is more
powerful than you could possibly imagine!”"
Marshmallow - Persistent Guardian	TFC	expansions/1/cards/367x512/e1822db470e60d090affd0956d743cb0e7cdf113	Character	Su	Amethyst	6	False	['Storyborn', 'Ally']	5	5	1	DURABLE When this character is banished in achallenge, you may return this card to your hand.,	"“Hey! We were just talking about you! All good
things, all good things.”
—Olaf"
Mickey Mouse - Wayward Sorcerer	TFC	expansions/1/cards/367x512/b7eb6c689c037217079766fdb77c3bac3e51cb4c	Character	Su	Amethyst	4	True	['Dreamborn', 'Sorcerer']	3	4	2	ANIMATE BROOM You pay 1 ⬡ less to play Broomcharacters.,CEASELESS WORKER Whenever one of your Broomcharacters is banished in a challenge, you may returnthat card to your hand.,	He always goes for the clean sweep.
Olaf - Friendly Snowman	TFC	expansions/1/cards/367x512/a9334987ece78b6fe8bf130ef00b74847c1d3da6	Character	Un	Amethyst	1	True	['Storyborn', 'Ally']	1	3	1		“I'm Olaf and I like warm hugs!”
Pascal - Rapunzel's Companion	TFC	expansions/1/cards/367x512/c5b76da3e608d34edb07244cd9b875ee86906328	Character	Un	Amethyst	1	True	['Storyborn', 'Ally']	1	1	1	CAMOUFLAGE While you have another characterin play, this character gains Evasive. (Only characterswith Evasive can challenge them.),	"A true friend is always there for you, whether you can
see them or not."
Rafiki - Mysterious Sage	TFC	expansions/1/cards/367x512/80e28a51cbc26fa4bd34938c5e593b36146f5e0c	Character	Un	Amethyst	3	False	['Dreamborn', 'Mentor', 'Sorcerer']	3	3	1	Rush (This character can challenge the turnthey're played.),	"“The past can hurt. But the way I see it, you can
either run from it or learn from it.”"
Sven - Official Ice Deliverer	TFC	expansions/1/cards/367x512/8effee409c625e1a2d8f5033631840e6ce1dcb64	Character	Un	Amethyst	6	True	['Storyborn', 'Ally']	5	7	1		"“Reindeer comin’ through!”
—Kristoff"
The Queen - Wicked and Vain	TFC	expansions/1/cards/367x512/54ceb91256e8190e474aa752a6e0650a2df5ba37	Character	Su	Amethyst	5	True	['Storyborn', 'Villain', 'Queen']	4	5	1	I SUMMON THEE ⟳ — Draw a card.,	"Sublime beauty matched with peerless cunning. Is
there any question who is fairest?"
The Wardrobe - Belle's Confidant	TFC	expansions/1/cards/367x512/9109c85a45b703f87f1413a405549a2cea9ab556	Character	Co	Amethyst	3	True	['Dreamborn', 'Ally']	3	4	1		When you simply must have the hautest couture.
Tinker Bell - Peter Pan's Ally	TFC	expansions/1/cards/367x512/667be543b02294b7624119adc3a725473df39885	Character	Co	Amethyst	5	False	['Storyborn', 'Ally', 'Fairy']	3	3	2	Evasive (Only characters with Evasive canchallenge this character.),LOYAL AND DEVOTED Your characters namedPeter Pan gain Challenger +1. (They get +1 ¤while challenging.),	
Ursula - Power Hungry	TFC	expansions/1/cards/367x512/5a5b0f9b7d3f8fc84c3cef8fd8efaaa6c70d75ab	Character	Le	Amethyst	7	False	['Storyborn', 'Villain', 'Sorcerer']	2	8	3	IT'S TOO EASY! When you play this character,each opponent loses 1 lore. You may draw a cardfor each 1 lore lost this way.,	"The first Rule of Villainy: If you're going to be evil,
you've got to have style."
Yzma - Alchemist	TFC	expansions/1/cards/367x512/e6c3dd630428fd54834172b8fd2735fed9416da4	Character	Co	Amethyst	2	True	['Dreamborn', 'Villain', 'Sorcerer']	2	2	1	YOU'RE EXCUSED Whenever this characterquests, look at the top card of your deck. Put iton either the top or the bottom of your deck.,	“When I want your opinion, I will give it to you!”
Zeus - God of Lightning	TFC	expansions/1/cards/367x512/6c1e671f9af5b46d9c1a52067bdf0e53685674f7	Character	Ra	Amethyst	4	False	['Storyborn', 'Deity']	0	4	2	Rush (This character can challenge the turn they'replayed.),Challenger +4 (While challenging, this character gets+4 ¤.),	“A little lightning solves a whole lot of problems.”
Befuddle	TFC	expansions/1/cards/367x512/511a418e72591eb7e33f703f04c3fa16df6c90bd	Action	Un	Amethyst	1	True					Return chosen character or item with cost 2 or less totheir player's hand.	Never be afraid to have your mind boggled now and then.
Freeze	TFC	expansions/1/cards/367x512/a17554a0d2b15a664c0e73900184544f19e70227	Action	Co	Amethyst	2	False					Exert chosen opposing character.	It's time for you to chill.
Friends on the Other Side	TFC	expansions/1/cards/367x512/c66c65175fecc3103b3b587be9b5b230889c8628	Action	Co	Amethyst	3	True	['Song']				(A character with cost 3 or more can ⟳ to sing this songfor free.),	"The cards, the cards
the cards will tell..."
Reflection	TFC	expansions/1/cards/367x512/2a459380709e2fe4ac2dae5733c73225ff6cfee1	Action	Un	Amethyst	1	True	['Song']				(A character with cost 1 or more can ⟳ to sing this songfor free.),	"When will my reflection show
Who I am inside?"
Magic Mirror	TFC	expansions/1/cards/367x512/59129aacfb6cebbe2c52f30ef3424209f7252e82	Item	Ra	Amethyst	2	False					SPEAK! ⟳, 4 ⬡ — Draw a card.,	“What wouldst thou know, my Queen?”
Ursula's Cauldron	TFC	expansions/1/cards/367x512/4d89d294cd4ca9f2ca57dc24a53ffb3ef5303122	Item	Un	Amethyst	2	False					PEER INTO THE DEPTHS ⟳ — Look at the top 2cards of your deck. Put one on the top of your deckand the other on the bottom.,	Perfect for mixing potions and stealing voices.
White Rabbit's Pocket Watch	TFC	expansions/1/cards/367x512/b4c96d80854dd27e76d8cc9e21960eebda52e962	Item	Ra	Amethyst	3	True					I'M LATE! ⟳, 1 ⬡ — Chosen character gains Rushthis turn. (They can challenge the turn they're played.),	"“No wonder you're late. Why, this watch is exactly two
days slow.” —The Mad Hatter"
Aladdin - Prince Ali	TFC	expansions/1/cards/367x512/a72b20062ec2c47ab2ceb97ac1bee818f8b6c6cb	Character	Co	Emerald	2	True	['Storyborn', 'Hero', 'Prince']	2	2	1	Ward (Opponents can't choose this characterexcept to challenge.),	"Fabulously wealthy. Practically untouchable.
Genuinely inauthentic."
Beast - Wolfsbane	TFC	expansions/1/cards/367x512/b7103ca278a75cad8f7d065acda0c2e80da0b7dc	Character	Le	Emerald	5	False	['Dreamborn', 'Hero', 'Prince']	4	4	2	Rush (This character can challenge the turn they'replayed.),ROAR When you play this character, exert all opposingdamaged characters.,	“I'll take on all of you if I have to!”
Cheshire Cat - Not All There	TFC	expansions/1/cards/367x512/d02560dd9d7db4467627745bd6701e809ffca6e3	Character	Un	Emerald	3	True	['Storyborn']	0	3	2	LOSE SOMETHING? When this character ischallenged and banished, banish the challengingcharacter.,	“You may have noticed that I'm not all there myself.”
Cruella De Vil - Miserable as Usual	TFC	expansions/1/cards/367x512/c097638f92de80ba8d6c696b26e6e601a5f61eb7	Character	Ra	Emerald	2	True	['Storyborn', 'Villain']	1	3	1	YOU'LL BE SORRY! When this character ischallenged and banished, you may return chosencharacter to their player's hand.,	When she stops by, misery is company.
Duke of Weselton - Opportunistic Official	TFC	expansions/1/cards/367x512/35e995c107a71caeb833bb3b79f9f54781b33fa1	Character	Co	Emerald	1	True	['Storyborn', 'Villain']	2	2	1		"“Sorcery! I knew there was something dubious
going on here.”"
Flynn Rider - Charming Rogue	TFC	expansions/1/cards/367x512/1f1362ea41d1bc65be321c0a378a20159f9a26d0	Character	Un	Emerald	2	True	['Storyborn', 'Hero', 'Prince']	1	2	2	HERE COMES THE SMOLDER Whenever thischaracter is challenged, the challenging playerchooses and discards a card.,	"“I didn't want to have to do this, but you leave me
no choice....”"
Genie - On the Job	TFC	expansions/1/cards/367x512/450ddec8dd206c2e2ab1aeeaa90e85e51753b8b7	Character	Su	Emerald	6	False	['Storyborn', 'Ally']	3	4	2	Evasive (Only characters with Evasive can challenge thischaracter.),DISAPPEAR When you play this character, you mayreturn chosen character to their player's hand.,	"“Can your friends go ‘Abracadabra, let 'er rip’ and then
make the sucker disappear?”"
Genie - Powers Unleashed	TFC	expansions/1/cards/367x512/d54ad009d179ae346683cfc3603979bc99339ef7	Character	Ra	Emerald	8	False	['Floodborn', 'Hero']	3	5	3	Shift 6 (You may pay 6 ⬡ to play this on top of one of yourcharacters named Genie.),Evasive (Only characters with Evasive can challenge thischaracter.),PHENOMENAL COSMIC POWER! Whenever this characterquests, you may play an action with cost 5 or less for free.,	
Genie - The Ever Impressive	TFC	expansions/1/cards/367x512/d321d6f7ccf98b51540ec9d933f20898af3bd71e	Character	Co	Emerald	2	True	['Dreamborn', 'Ally']	2	3	1		"“You can wish for nearly anything! Do you want
the short version, or should I give you the whole
song and dance?”"
Hans - Scheming Prince	TFC	expansions/1/cards/367x512/eb4ac3033e8ab3591e0fcefa8c26ce3fd36d5a0f	Character	Ra	Emerald	4	True	['Storyborn', 'Villain', 'Prince']	3	3	3		"“Rules are like older siblings. All they do is get in
the way.”"
Horace - No-Good Scoundrel	TFC	expansions/1/cards/367x512/b74f5ee9461495ba5ca4c72a7108a23904c27a05	Character	Co	Emerald	3	True	['Storyborn', 'Ally']	4	3	1		“Well, they ain't in here, Jasper.”
Iago - Loud-Mouthed Parrot	TFC	expansions/1/cards/367x512/b888b29826bb53dc531437e723738383d8339b56	Character	Ra	Emerald	3	True	['Storyborn', 'Ally']	1	4	1	YOU GOT A PROBLEM? ⟳ — Chosen charactergains Reckless during their next turn. (They can'tquest and must challenge if able.),	
Jasper - Common Crook	TFC	expansions/1/cards/367x512/1d513c0bcbe33b2e7440e5e14d0b22ef95c9d673	Character	Un	Emerald	3	True	['Storyborn', 'Ally']	2	4	1	PUPPYNAPPING Whenever this characterquests, chosen opposing character can't questduring their next turn.,	"“Now, look here, Horace, I warned you about
thinkin’.”"
John Silver - Alien Pirate	TFC	expansions/1/cards/367x512/76546f9a641ede2beab506b96df1688d889e629a	Character	Le	Emerald	6	True	['Storyborn', 'Villain', 'Alien', 'Pirate', 'Captain']	5	5	2	PICK YOUR FIGHTS When you play this characterand whenever he quests, chosen opposing charactergains Reckless during their next turn. (They can'tquest and must challenge if able.),	“Don't be too put off by this...hunk of hardware.”
Jumba Jookiba - Renegade Scientist	TFC	expansions/1/cards/367x512/7d7116e23efef7292cad5e6f033d9a962708228c	Character	Un	Emerald	5	True	['Dreamborn', 'Alien', 'Inventor']	4	5	2		"“Created something? Ha! But that would be
irresponsible and unethical. I would never, ever...
make more than one.”"
Kuzco - Temperamental Emperor	TFC	expansions/1/cards/367x512/be461a0cd1fda052a69c3fd94f8cf5f6f86afa34	Character	Ra	Emerald	5	False	['Storyborn', 'King']	2	4	3	Ward (Opponents can't choose this character except tochallenge.),NO TOUCHY! When this character is challenged andbanished, you may banish the challenging character.,	"“I asked for emerald and that is clearly jade! What is wrong
with you people?”"
Lady Tremaine - Wicked Stepmother	TFC	expansions/1/cards/367x512/1352246e33277e9d3c9090a434fa72cfa6536ae2	Character	Ra	Emerald	6	False	['Dreamborn', 'Villain']	1	5	1	DO IT AGAIN! When you play this character,you may return an action card from your discardto your hand.,	"“If your chores are done, then clearly you don't
have enough of them.”"
Mad Hatter - Gracious Host	TFC	expansions/1/cards/367x512/3c26dffc8a2e8804dfe2c8a1195cfaa5ef6d0014	Character	Un	Emerald	5	True	['Storyborn']	2	4	3	TEA PARTY Whenever this character is challenged,you may draw a card.,	"Mad Hatter: “Would you like a little more tea?”
Alice: “I haven't had any yet, so I can't very well take
more.”"
Megara - Pulling the Strings	TFC	expansions/1/cards/367x512/e62d7f1eb43d87c202d2f164ba61297e71be80f4	Character	Co	Emerald	2	True	['Dreamborn', 'Ally']	2	1	1	WONDER BOY When you play this character,chosen character gets +2 ¤ this turn.,	"“A deal's a deal. But falling in love was never
supposed to be part of it.”"
Mickey Mouse - Artful Rogue	TFC	expansions/1/cards/367x512/b37f6ddcefad7e8657837d3177f9ef2462f98acf	Character	Su	Emerald	7	False	['Floodborn', 'Hero']	6	5	2	Shift 5 (You may pay 5 ⬡ to play this on top of one ofyour characters named Mickey Mouse.),MISDIRECTION Whenever you play an action, chosenopposing character can't quest during their next turn.,	Quiet as a...well, you know.
Mickey Mouse - Steamboat Pilot	TFC	expansions/1/cards/367x512/16b06bd9b738835e2d134fe8d596e9ab0086a985	Character	Co	Emerald	3	True	['Storyborn', 'Hero', 'Captain']	3	4	1		"On rivers throughout the Inklands, the little
steamboat's whistle answers the cheery tunes of
its pilot."
Mother Gothel - Selfish Manipulator	TFC	expansions/1/cards/367x512/2d0c8af807ef45ac17cafb2973d866ba8f38caa9	Character	Su	Emerald	6	True	['Storyborn', 'Villain']	3	6	2	SKIP THE DRAMA, STAY WITH MAMA While thischaracter is exerted, opposing characters can'tquest.,	“Great. Now I'm the bad guy.”
Peter Pan - Never Landing	TFC	expansions/1/cards/367x512/4cd66dfabbd964f8c6c4414b07cdb45dae692e19	Character	Co	Emerald	3	True	['Dreamborn', 'Hero']	3	2	1	Evasive (Only characters with Evasive canchallenge this character.),	“What's the matter, Hook? Can't you fly?”
